imdb_title_id;year;country
tt0088751;2005;USA
tt0113026;2000;USA
tt0113092;2000;USA
tt0114447;2001;USA
tt0118141;2005;USA
tt0118589;2001;USA
tt0118652;2001;USA
tt0118710;2000;USA
tt0118852;2000;USA
tt0119004;2001;USA,Denmark,Sweden
tt0119231;2007;USA
tt0119273;2000;Canada,Germany
tt0119495;2000;USA
tt0119970;2008;India,USA
tt0120467;2000;USA
tt0120630;2000;UK,USA,France
tt0120667;2005;USA,Germany
tt0120681;2001;USA,CzechRepublic,UK
tt0120698;2000;USA,Canada
tt0120733;2000;Canada
tt0120753;2000;Germany,UK,USA
tt0120755;2000;USA,Germany
tt0120804;2002;UK,Germany,USA
tt0120807;2001;USA
tt0120824;2001;Canada,USA
tt0120903;2000;USA
tt0120912;2002;USA
tt0120917;2000;USA
tt0121164;2005;USA,UK
tt0121765;2002;USA
tt0121766;2005;USA
tt0122132;2003;USA
tt0122161;2000;USA
tt0122247;2004;USA
tt0123003;2000;USA
tt0123055;2000;USA
tt0126029;2001;USA
tt0127349;2000;USA,Canada
tt0128216;2002;USA
tt0130623;2000;USA
tt0131704;2000;USA,Germany,SouthKorea,India,Canada
tt0132078;2001;Switzerland,Germany
tt0132885;2000;USA
tt0132910;2000;Germany,USA
tt0133063;2001;Switzerland,Poland
tt0133152;2001;USA
tt0133240;2002;USA
tt0134084;2000;USA
tt0134630;2000;USA
tt0134983;2000;USA,Switzerland
tt0135991;2003;UK
tt0136517;2006;USA
tt0137204;2017;Canada
tt0138353;2000;USA
tt0138631;2000;Australia
tt0138749;2000;USA
tt0138927;2000;USA
tt0139388;2000;USA
tt0141120;2001;USA
tt0141399;2000;UK,Germany,Canada,Japan,USA
tt0141907;2001;USA
tt0142634;2003;USA
tt0142650;2000;USA
tt0143344;2000;USA
tt0144528;2000;USA
tt0144608;2000;India,USA
tt0145467;2001;Australia
tt0145487;2002;USA
tt0146063;2002;USA,Hungary
tt0146272;2005;USA
tt0146316;2001;USA,UK,Japan,Germany
tt0146803;2004;USA
tt0146984;2000;USA
tt0147486;2000;USA
tt0148421;2000;USA
tt0149253;2002;USA,Italy
tt0149367;2000;Germany,USA,UK,Canada
tt0150021;2001;USA,Canada
tt0151309;2000;USA
tt0153464;2000;UK,USA
tt0154187;2002;USA
tt0155150;2000;USA
tt0155723;2000;USA
tt0155754;2000;USA
tt0156020;2000;USA,Mexico,Canada
tt0156100;2003;USA
tt0156323;2000;USA
tt0156757;2000;Ireland,UK
tt0156807;2000;Australia
tt0156942;2000;USA
tt0157191;2003;Canada
tt0157262;2000;Canada,Germany
tt0157472;2002;USA
tt0157836;2000;Canada
tt0158622;2000;USA
tt0159365;2003;USA,Italy,Romania
tt0159396;2000;USA
tt0159784;2000;USA
tt0160009;2000;USA,Canada
tt0160182;2000;USA
tt0160184;2002;Germany,USA
tt0160256;2000;UK,Germany
tt0160399;2001;USA
tt0160403;2000;USA
tt0160434;2000;USA
tt0160447;2000;USA
tt0160484;2000;USA
tt0160495;2000;USA
tt0160547;2000;USA
tt0160611;2000;Ireland,Germany,UK,USA
tt0160616;2000;USA
tt0160652;2000;USA
tt0160663;2000;USA
tt0160706;2005;USA
tt0160710;2000;USA
tt0160749;2000;USA
tt0160905;2002;USA
tt0161003;2000;USA
tt0161081;2000;USA
tt0161088;2002;USA
tt0161216;2000;USA
tt0162030;2001;USA
tt0162346;2001;USA,UK,Germany
tt0162711;2000;USA
tt0162838;2002;USA
tt0162983;2000;Germany,USA
tt0163080;2000;Australia
tt0163125;2000;USA
tt0163246;2001;USA
tt0163596;2001;Canada
tt0163676;2000;USA
tt0163764;2001;USA
tt0163983;2000;USA,Germany
tt0164052;2000;USA,Germany
tt0164192;2000;USA
tt0164318;2000;USA
tt0164545;2000;USA
tt0164810;2002;USA
tt0165361;2002;USA
tt0165400;2000;USA
tt0165642;2000;USA
tt0165800;2000;USA
tt0165832;2002;Canada,USA
tt0165928;2000;Canada,USA
tt0166013;2000;UK,Ireland,USA
tt0166158;2001;USA
tt0166192;2000;USA
tt0166276;2001;USA
tt0166813;2002;USA
tt0167183;2000;USA
tt0167203;2000;USA
tt0167360;2001;Germany,USA
tt0167367;2000;Canada
tt0167456;2004;UK,France,USA
tt0168446;2000;UK,Sweden,Norway
tt0168504;2000;USA
tt0168578;2000;USA
tt0168612;2000;USA
tt0168631;2000;Germany,Canada,USA
tt0169122;2000;USA,India
tt0169324;2000;USA
tt0170008;2001;USA
tt0170016;2000;USA,Germany
tt0170260;2001;USA
tt0170452;2000;USA
tt0170691;2000;USA,Germany
tt0171339;2001;USA
tt0171356;2000;USA
tt0171359;2000;USA
tt0172464;2000;USA
tt0172495;2000;USA,UK,Malta,Morocco
tt0172543;2001;Australia,Italy
tt0172632;2000;USA
tt0172995;2001;USA
tt0173498;2001;USA
tt0173568;2000;UK
tt0173716;2000;USA,France
tt0173840;2001;USA,Japan
tt0173999;2000;France,USA
tt0174480;2000;USA
tt0174732;2001;USA
tt0175142;2000;USA
tt0175526;2000;USA
tt0176185;2002;USA
tt0176244;2000;USA
tt0176579;2000;USA
tt0176650;2000;USA
tt0176883;2001;USA,NewZealand
tt0177068;2000;USA
tt0177185;2000;USA
tt0177195;2000;Australia
tt0177650;2000;UK,France,USA
tt0177845;2000;France,UK
tt0177885;2001;USA
tt0177888;2000;USA
tt0177971;2000;USA
tt0177997;2001;USA
tt0178043;2000;USA
tt0178050;2000;USA
tt0178642;2001;USA
tt0179183;2000;Luxembourg,USA
tt0179344;2001;USA
tt0179435;2001;USA
tt0179443;2000;UK
tt0179473;2000;USA
tt0179803;2005;USA
tt0179861;2000;USA
tt0180052;2002;USA,Australia
tt0180093;2000;USA
tt0180273;2001;UK
tt0180303;2000;Germany,USA
tt0180679;2001;USA
tt0180683;2000;USA
tt0181151;2000;USA
tt0181311;2000;UK
tt0181317;2001;UK
tt0181739;2001;USA
tt0181836;2000;USA
tt0181852;2003;USA,Germany,UK
tt0181945;2000;USA
tt0182000;2001;USA,Canada
tt0182295;2000;UK,France,USA
tt0182508;2000;USA
tt0183056;2000;France,UK
tt0183523;2000;USA,Canada,France
tt0183550;2000;Australia
tt0183639;2000;USA
tt0183659;2000;USA
tt0183808;2000;USA
tt0183946;2000;Germany
tt0184384;2001;USA
tt0184719;2002;USA
tt0184791;2001;USA
tt0184858;2000;USA
tt0184907;2000;USA
tt0185007;2000;USA
tt0185014;2000;USA,Germany,UK,Japan
tt0185183;2000;USA
tt0185431;2000;USA
tt0186045;2000;USA
tt0186151;2000;USA
tt0186183;2000;UK,USA,Canada
tt0186202;2001;USA
tt0186454;2000;USA
tt0186549;2000;USA
tt0186566;2000;USA
tt0186589;2001;USA
tt0186719;2000;USA
tt0186894;2000;USA
tt0187078;2000;USA
tt0187387;2000;USA
tt0187559;2000;USA
tt0187750;2000;USA
tt0188045;2000;USA,Germany
tt0188055;2000;USA
tt0188128;2001;UK,France
tt0188160;2000;USA
tt0188518;2000;UK
tt0188688;2000;USA
tt0189456;2000;Australia
tt0190052;2000;USA
tt0190273;2000;UK
tt0190346;2000;France
tt0190374;2000;USA,CzechRepublic,Canada
tt0190398;2000;USA
tt0190524;2000;Canada
tt0190590;2000;UK,France,USA
tt0190736;2000;USA
tt0190994;2000;Canada
tt0191074;2002;USA
tt0191133;2003;USA
tt0191242;2000;Canada
tt0191754;2000;USA
tt0191996;2000;UK
tt0192023;2001;Canada,USA
tt0192071;2001;USA
tt0192255;2000;Germany,Netherlands,USA
tt0192455;2000;USA
tt0192614;2000;USA,Canada
tt0192731;2000;USA,Canada
tt0192788;2003;USA
tt0192912;2000;UK,Germany
tt0193135;2000;USA
tt0193318;2000;UK
tt0193545;2002;Canada
tt0193560;2001;USA,Mexico
tt0193701;2000;UK
tt0193854;2000;UK,USA
