imdb_title_id	weighted_average_vote	total_votes
tt0000009	5.9	154
tt0000574	6.1	589
tt0001892	5.8	188
tt0002101	5.2	446
tt0002130	7	2237
tt0002199	5.7	484
tt0002423	6.8	753
tt0002445	6.2	273
tt0002452	6.7	198
tt0002461	5.5	225
tt0002646	6.6	331
tt0002844	7	1944
tt0003014	7.1	948
tt0003037	7	1349
tt0003102	6.2	100
tt0003131	6.5	124
tt0003165	7	1050
tt0003167	5.8	187
tt0003419	6.5	1768
tt0003471	6	552
tt0003489	6.2	474
tt0003637	6.4	378
tt0003643	6.4	1105
tt0003657	6.5	144
tt0003740	7.1	3073
tt0003772	6	929
tt0003883	7.5	303
tt0003930	6.9	1161
tt0003973	5.8	202
tt0004026	6.8	1040
tt0004066	7	503
tt0004099	5.2	415
tt0004134	6.6	456
tt0004150	5.8	402
tt0004181	6.1	1239
tt0004457	5.5	382
tt0004465	6.3	939
tt0004635	5.7	879
tt0004681	6.1	178
tt0004707	6.3	3250
tt0004712	6.3	165
tt0004743	5.3	112
tt0004766	5.6	174
tt0004825	6.4	242
tt0004838	5.7	138
tt0004872	6.6	206
tt0004873	6.2	394
tt0004972	6.3	22213
tt0005060	6.4	894
tt0005078	6.6	2305
tt0005149	6	244
tt0005339	5.8	783
tt0005402	6.4	187
tt0005529	6.8	268
tt0005557	6.6	293
tt0005680	5.9	130
tt0005719	5.6	138
tt0005809	6.1	300
tt0005916	6.9	794
tt0005951	6.9	597
tt0005960	6.8	1110
tt0006206	7.3	4166
tt0006327	5.9	151
tt0006333	6.2	1501
tt0006509	4.5	559
tt0006517	6	283
tt0006589	6.8	123
tt0006617	6.1	199
tt0006688	6.4	143
tt0006731	5.3	609
tt0006736	6.6	166
tt0006745	5.7	479
tt0006753	6.6	147
tt0006780	6.8	836
tt0006809	5.9	127
tt0006826	5.6	837
tt0006864	7.8	13875
tt0006886	7.4	867
tt0007047	6	573
tt0007183	7	610
tt0007257	4.7	564
tt0007260	6.5	141
tt0007309	5.6	183
tt0007338	6.4	313
tt0007340	6.8	342
tt0007361	6.2	349
tt0007367	5.3	509
tt0007522	5.8	100
tt0007558	6.3	591
tt0007610	5.9	267
tt0007755	6	468
tt0007801	6.5	298
tt0007983	6.1	129
tt0008011	6.1	135
tt0008100	6.5	585
tt0008150	6.5	501
tt0008188	5.9	608
tt0008196	5.7	638
tt0008279	6.4	109
tt0008309	6.7	257
tt0008395	7.1	458
tt0008443	6.7	1266
tt0008489	6.4	130
tt0008499	6.1	770
tt0008519	5.7	727
tt0008536	6.9	147
tt0008634	6.2	372
tt0008652	6	108
tt0008663	7.4	1508
tt0008672	6	189
tt0008679	4.8	481
tt0008687	6.1	140
tt0008710	6.7	148
tt0008775	6.4	557
tt0008827	5.8	740
tt0008843	5.9	123
tt0008854	5.5	554
tt0008879	7.3	1518
tt0008891	7	782
tt0008930	6	116
tt0008950	6	267
tt0009014	5.9	134
tt0009062	6.2	515
tt0009086	5.4	281
tt0009150	6.4	906
tt0009153	6.1	112
tt0009241	5.1	594
tt0009326	6.5	119
tt0009356	5.2	616
tt0009369	5.9	1061
tt0009440	6.4	178
tt0009475	4.4	484
tt0009559	6.1	341
tt0009608	5.1	697
tt0009611	7.3	5895
tt0009652	6.7	1360
tt0009682	5.7	684
tt0009701	7	309
tt0009737	5.9	109
tt0009796	6.8	262
tt0009878	7	1122
tt0009892	5.9	963
tt0009893	7.2	1631
tt0009894	7.1	168
tt0009900	6.3	857
tt0009915	7.1	165
tt0009937	7	1325
tt0009968	7.3	9241
tt0009976	5.7	631
tt0010040	6.5	1306
tt0010060	5.9	814
tt0010071	6.6	1122
tt0010103	5.3	646
tt0010137	5.4	697
tt0010162	6.5	203
tt0010193	5.8	671
tt0010195	6.8	254
tt0010208	5.6	553
tt0010219	3.9	368
tt0010227	5.6	510
tt0010247	7.3	1176
tt0010267	6.7	929
tt0010281	6.9	1230
tt0010298	6.9	100
tt0010307	7.7	1417
tt0010323	8.1	55601
tt0010418	7	1712
tt0010456	6	172
tt0010466	6.6	145
tt0010484	6.9	166
tt0010559	6.3	137
tt0010598	6.6	776
tt0010600	7.4	1669
tt0010635	5.2	594
tt0010662	4.9	420
tt0010680	6.3	237
tt0010726	6.6	1051
tt0010755	6.9	157
tt0010806	7	1599
tt0010821	6.5	447
tt0010844	6.6	331
tt0010853	6.7	152
tt0010879	6.9	775
tt0010890	6.4	337
tt0010925	5.5	722
tt0010953	6.3	138
tt0010962	6.6	576
tt0010964	6.4	129
tt0010969	6.7	315
tt0011000	6.7	1083
tt0011130	7	4753
tt0011157	6.6	717
tt0011173	6.2	123
tt0011193	6.6	291
tt0011217	6.4	308
tt0011221	6	848
tt0011237	7.2	6577
tt0011267	5.1	260
tt0011294	7.1	165
tt0011302	6.9	187
tt0011317	6.2	135
tt0011344	6.2	105
tt0011358	6.6	332
tt0011369	6	113
tt0011370	6.8	323
tt0011371	6.7	264
tt0011387	6.7	1102
tt0011414	4.9	142
tt0011415	5.9	105
tt0011439	7.1	2145
tt0011440	6.6	195
tt0011474	6.5	129
tt0011513	5.7	189
tt0011588	6.4	355
tt0011607	7.1	1032
tt0011623	6.1	149
tt0011641	6.5	153
tt0011647	5.7	123
tt0011652	6.1	1402
tt0011679	6	265
tt0011716	5.2	575
tt0011723	6.4	763
tt0011741	6.3	210
tt0011742	6.1	625
tt0011753	5.5	168
tt0011779	6.5	191
tt0011833	6.9	425
tt0011837	6.1	356
tt0011841	7.4	4961
tt0011865	6.7	1321
tt0011870	6.3	2465
tt0011904	6.8	1037
tt0011908	6	101
tt0011909	6.6	1208
tt0011948	6.9	364
tt0011960	7	1025
tt0011979	6.8	497
tt0012016	6.4	170
tt0012027	6.6	875
tt0012068	6.8	415
tt0012122	5.5	133
tt0012125	6.4	116
tt0012134	7	362
tt0012136	6.4	268
tt0012187	6.5	123
tt0012190	7.2	3058
tt0012249	7	382
tt0012281	6.8	209
tt0012313	6.7	286
